N,batch,selected_backend,ours_best_ms,gpu_ntt_ms,ratio_gpu_over_ours,winner,transforms_per_s_selected,effective_gbps_selected_estimated,source
256,1,warp_shuffle_shoup,0.004576,0.008832,1.930,ours,218531,0.4,job153-verified-executed
256,2,warp_shuffle_shoup,0.004512,0.008704,1.929,ours,443262,0.9,job153-verified-executed
256,4,warp_shuffle_shoup,0.004608,0.008192,1.778,ours,868056,1.8,job153-verified-executed
256,8,warp_shuffle_shoup,0.004512,0.008608,1.908,ours,1773050,3.6,job153-verified-executed
256,16,warp_shuffle_shoup,0.004832,0.008480,1.755,ours,3311258,6.8,job153-verified-executed
256,32,warp_shuffle_shoup,0.005216,0.008192,1.571,ours,6134969,12.6,job153-verified-executed
256,64,warp_shuffle_shoup,0.005760,0.008288,1.439,ours,11111111,22.8,job153-verified-executed
256,128,warp_shuffle_shoup,0.005888,0.009248,1.571,ours,21739130,44.5,job153-verified-executed
256,256,warp_shuffle_shoup,0.006336,0.009568,1.510,ours,40404040,82.7,job153-verified-executed
256,512,shoup_pad,0.008608,0.010880,1.264,ours,59479554,121.8,job153-verified-executed
256,1024,warp_shuffle_shoup,0.012992,0.015936,1.227,ours,78817734,161.4,job153-verified-executed
256,2048,warp_shuffle_shoup,0.021280,0.023072,1.084,ours,96240602,197.1,job153-verified-executed
256,4096,warp_shuffle_shoup,0.037024,0.038912,1.051,ours,110630942,226.6,job153-verified-executed
256,8192,gpu_ntt,0.073856,0.069888,0.946,gpu_ntt,117216117,240.1,job153-verified-executed
512,1,warp_shuffle,0.005856,0.009472,1.617,ours,170765,0.7,job153-verified-executed
512,2,warp_shuffle_shoup,0.005504,0.008608,1.564,ours,363372,1.5,job153-verified-executed
512,4,warp_shuffle_shoup,0.005792,0.009376,1.619,ours,690608,2.8,job153-verified-executed
512,8,warp_shuffle_shoup,0.005504,0.008896,1.616,ours,1453488,6.0,job153-verified-executed
512,16,warp_shuffle_shoup,0.005536,0.008352,1.509,ours,2890173,11.8,job153-verified-executed
512,32,warp_shuffle_shoup,0.005728,0.008384,1.464,ours,5586592,22.9,job153-verified-executed
512,64,warp_shuffle_shoup,0.006240,0.008896,1.426,ours,10256410,42.0,job153-verified-executed
512,128,warp_shuffle_shoup,0.007136,0.010016,1.404,ours,17937220,73.5,job153-verified-executed
512,256,shoup_pad,0.009280,0.011744,1.266,ours,27586207,113.0,job153-verified-executed
512,512,shoup_pad,0.014336,0.016384,1.143,ours,35714286,146.3,job153-verified-executed
512,1024,shoup_pad,0.023520,0.025600,1.088,ours,43537415,178.3,job153-verified-executed
512,2048,gpu_ntt,0.040960,0.034464,0.841,gpu_ntt,59424327,243.4,job153-verified-executed
512,4096,gpu_ntt,0.065472,0.061824,0.944,gpu_ntt,66252588,271.4,job153-verified-executed
512,8192,gpu_ntt,0.123296,0.114688,0.930,gpu_ntt,71428571,292.6,job153-verified-executed
1024,1,warp_shuffle_shoup,0.005888,0.008704,1.478,ours,169837,1.4,job153-verified-executed
1024,2,warp_shuffle_shoup,0.005792,0.008320,1.436,ours,345304,2.8,job153-verified-executed
1024,4,warp_shuffle_shoup,0.005824,0.008480,1.456,ours,686813,5.6,job153-verified-executed
1024,8,warp_shuffle_shoup,0.005952,0.008192,1.376,ours,1344086,11.0,job153-verified-executed
1024,16,warp_shuffle_shoup,0.005920,0.008256,1.395,ours,2702703,22.1,job153-verified-executed
1024,32,warp_shuffle_shoup,0.006080,0.008064,1.326,ours,5263158,43.1,job153-verified-executed
1024,64,warp_shuffle_shoup,0.007040,0.008224,1.168,ours,9090909,74.5,job153-verified-executed
1024,128,shoup_pad,0.007840,0.010304,1.314,ours,16326531,133.7,job153-verified-executed
1024,256,shoup_pad,0.012544,0.014336,1.143,ours,20408163,167.2,job153-verified-executed
1024,512,shoup_pad,0.021632,0.022112,1.022,within3pct,23668639,193.9,job153-verified-executed
1024,1024,gpu_ntt,0.037728,0.036864,0.977,within3pct,27777778,227.6,job153-verified-executed
1024,2048,gpu_ntt,0.076192,0.066176,0.869,gpu_ntt,30947776,253.5,job153-verified-executed
1024,4096,gpu_ntt,0.134816,0.112288,0.833,gpu_ntt,36477629,298.8,job153-verified-executed
1024,8192,gpu_ntt,0.261824,0.213280,0.815,gpu_ntt,38409602,314.7,job153-verified-executed
2048,1,shoup_pad,0.008256,0.010272,1.244,ours,121124,2.0,job153-verified-executed
2048,2,shoup_pad,0.008544,0.010240,1.199,ours,234082,3.8,job153-verified-executed
2048,4,shoup_pad,0.008224,0.010528,1.280,ours,486381,8.0,job153-verified-executed
2048,8,padded,0.009024,0.010688,1.184,ours,886525,14.5,job153-verified-executed
2048,16,shoup_pad,0.008192,0.010656,1.301,ours,1953125,32.0,job153-verified-executed
2048,32,shoup_pad,0.008960,0.011936,1.332,ours,3571429,58.5,job153-verified-executed
2048,64,padded,0.010048,0.013856,1.379,ours,6369427,104.4,job153-verified-executed
2048,128,padded,0.016000,0.019424,1.214,ours,8000000,131.1,job153-verified-executed
4096,1,multiblock,0.009632,0.010496,1.090,ours,103821,3.4,job153-verified-executed
4096,2,multiblock,0.010336,0.011200,1.084,ours,193498,6.3,job153-verified-executed
4096,4,gpu_ntt,0.011264,0.010752,0.955,gpu_ntt,372024,12.2,job153-verified-executed
4096,8,gpu_ntt,0.012000,0.010784,0.899,gpu_ntt,741840,24.3,job153-verified-executed
4096,16,shoup_pad,0.011936,0.012032,1.008,within3pct,1340483,43.9,job153-verified-executed
4096,32,shoup_pad,0.012160,0.014144,1.163,ours,2631579,86.2,job153-verified-executed
4096,64,shoup_pad,0.014656,0.019616,1.338,ours,4366812,143.1,job153-verified-executed
4096,128,padded,0.025952,0.029664,1.143,ours,4932182,161.6,job153-verified-executed
8192,1,multiblock,0.010848,0.010976,1.012,within3pct,92183,6.0,job153-verified-executed
8192,2,gpu_ntt,0.011552,0.010528,0.911,gpu_ntt,189970,12.4,job153-verified-executed
8192,4,gpu_ntt,0.013504,0.010560,0.782,gpu_ntt,378788,24.8,job153-verified-executed
8192,8,gpu_ntt,0.017088,0.012064,0.706,gpu_ntt,663130,43.5,job153-verified-executed
8192,16,gpu_ntt,0.020160,0.014272,0.708,gpu_ntt,1121076,73.5,job153-verified-executed
8192,32,gpu_ntt,0.020960,0.020128,0.960,gpu_ntt,1589825,104.2,job153-verified-executed
8192,64,padded,0.022528,0.026656,1.183,ours,2840909,186.2,job153-verified-executed
8192,128,padded,0.041088,0.043232,1.052,ours,3115265,204.2,job153-verified-executed
16384,1,gpu_ntt,0.010560,0.010240,0.970,gpu_ntt,97656,12.8,job153-verified-executed
16384,2,gpu_ntt,0.012192,0.010240,0.840,gpu_ntt,195312,25.6,job153-verified-executed
16384,4,gpu_ntt,0.016224,0.011296,0.696,gpu_ntt,354108,46.4,job153-verified-executed
16384,8,gpu_ntt,0.023424,0.013408,0.572,gpu_ntt,596659,78.2,job153-verified-executed
16384,16,gpu_ntt,0.037280,0.018304,0.491,gpu_ntt,874126,114.6,job153-verified-executed
16384,32,gpu_ntt,0.038496,0.028256,0.734,gpu_ntt,1132503,148.4,job153-verified-executed
16384,64,gpu_ntt,0.053152,0.046944,0.883,gpu_ntt,1363327,178.7,job153-verified-executed
16384,128,gpu_ntt,0.109888,0.089728,0.817,gpu_ntt,1426534,187.0,job153-verified-executed
