N,batch,ours_best_ms,gpu_ntt_ms,bitrev_permute_ms,gpu_plus_perm_ms,ours_plus_perm_ms,raw_ratio_gpu_over_ours,natural_contract_ratio,bitrev_contract_ratio
256,1,0.004576,0.008832,0.003520,0.012352,0.008096,1.9301,2.6993,1.0909
256,2,0.004512,0.008704,0.003488,0.012192,0.008000,1.9291,2.7021,1.0880
256,4,0.004608,0.008192,0.003840,0.012032,0.008448,1.7778,2.6111,0.9697
256,8,0.004512,0.008608,0.003776,0.012384,0.008288,1.9078,2.7447,1.0386
256,16,0.004832,0.008480,0.003648,0.012128,0.008480,1.7550,2.5099,1.0000
256,32,0.005216,0.008192,0.003392,0.011584,0.008608,1.5706,2.2209,0.9517
256,64,0.005760,0.008288,0.003776,0.012064,0.009536,1.4389,2.0944,0.8691
256,128,0.005888,0.009248,0.003776,0.013024,0.009664,1.5707,2.2120,0.9570
256,256,0.006336,0.009568,0.003904,0.013472,0.010240,1.5101,2.1263,0.9344
256,512,0.008608,0.010880,0.004544,0.015424,0.013152,1.2639,1.7918,0.8273
256,1024,0.012992,0.015936,0.005952,0.021888,0.018944,1.2266,1.6847,0.8412
256,2048,0.021280,0.023072,0.008192,0.031264,0.029472,1.0842,1.4692,0.7828
256,4096,0.037024,0.038912,0.018880,0.057792,0.055904,1.0510,1.5609,0.6961
256,8192,0.073856,0.069888,0.034560,0.104448,0.108416,0.9463,1.4142,0.6446
512,1,0.005856,0.009472,0.003456,0.012928,0.009312,1.6175,2.2077,1.0172
512,2,0.005504,0.008608,0.003552,0.012160,0.009056,1.5640,2.2093,0.9505
512,4,0.005792,0.009376,0.003520,0.012896,0.009312,1.6188,2.2265,1.0069
512,8,0.005504,0.008896,0.003584,0.012480,0.009088,1.6163,2.2674,0.9789
512,16,0.005536,0.008352,0.003488,0.011840,0.009024,1.5087,2.1387,0.9255
512,32,0.005728,0.008384,0.003808,0.012192,0.009536,1.4637,2.1285,0.8792
512,64,0.006240,0.008896,0.003968,0.012864,0.010208,1.4256,2.0615,0.8715
512,128,0.007136,0.010016,0.004448,0.014464,0.011584,1.4036,2.0269,0.8646
512,256,0.009280,0.011744,0.005216,0.016960,0.014496,1.2655,1.8276,0.8102
512,512,0.014336,0.016384,0.006784,0.023168,0.021120,1.1429,1.6161,0.7758
512,1024,0.023520,0.025600,0.010496,0.036096,0.034016,1.0884,1.5347,0.7526
512,2048,0.040960,0.034464,0.018656,0.053120,0.059616,0.8414,1.2969,0.5781
512,4096,0.065472,0.061824,0.034432,0.096256,0.099904,0.9443,1.4702,0.6188
512,8192,0.123296,0.114688,0.065408,0.180096,0.188704,0.9302,1.4607,0.6078
1024,1,0.005888,0.008704,0.002784,0.011488,0.008672,1.4783,1.9511,1.0037
1024,2,0.005792,0.008320,0.002880,0.011200,0.008672,1.4365,1.9337,0.9594
1024,4,0.005824,0.008480,0.002912,0.011392,0.008736,1.4560,1.9560,0.9707
1024,8,0.005952,0.008192,0.003168,0.011360,0.009120,1.3763,1.9086,0.8982
1024,16,0.005920,0.008256,0.002816,0.011072,0.008736,1.3946,1.8703,0.9451
1024,32,0.006080,0.008064,0.003104,0.011168,0.009184,1.3263,1.8368,0.8780
1024,64,0.007040,0.008224,0.004288,0.012512,0.011328,1.1682,1.7773,0.7260
1024,128,0.007840,0.010304,0.005536,0.015840,0.013376,1.3143,2.0204,0.7703
1024,256,0.012544,0.014336,0.008064,0.022400,0.020608,1.1429,1.7857,0.6957
1024,512,0.021632,0.022112,0.013056,0.035168,0.034688,1.0222,1.6257,0.6375
1024,1024,0.037728,0.036864,0.023296,0.060160,0.061024,0.9771,1.5946,0.6041
1024,2048,0.076192,0.066176,0.042880,0.109056,0.119072,0.8685,1.4313,0.5558
1024,4096,0.134816,0.112288,0.075904,0.188192,0.210720,0.8329,1.3959,0.5329
1024,8192,0.261824,0.213280,0.172928,0.386208,0.434752,0.8146,1.4751,0.4906
2048,1,0.008256,0.010272,0.003232,0.013504,0.011488,1.2442,1.6357,0.8942
2048,2,0.008544,0.010240,0.002944,0.013184,0.011488,1.1985,1.5431,0.8914
2048,4,0.008224,0.010528,0.003008,0.013536,0.011232,1.2802,1.6459,0.9373
2048,8,0.009024,0.010688,0.003072,0.013760,0.012096,1.1844,1.5248,0.8836
2048,16,0.008192,0.010656,0.003904,0.014560,0.012096,1.3008,1.7773,0.8810
2048,32,0.008960,0.011936,0.004544,0.016480,0.013504,1.3321,1.8393,0.8839
2048,64,0.010048,0.013856,0.006048,0.019904,0.016096,1.3790,1.9809,0.8608
2048,128,0.016000,0.019424,0.009312,0.028736,0.025312,1.2140,1.7960,0.7674
