N,batch,selected_backend,executed_backend,output_order,selector_lookup_ns,best_measured_ms,executed_p50_ms,executed_p95_ms,executed_p99_ms,regret,values_ok,ordering_ok,reps_measure,reps_execute
256,1,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.004576,0.004512,0.005312,0.005408,0.9860,1,1,9,100
256,2,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.004512,0.004576,0.005344,0.005600,1.0142,1,1,9,100
256,4,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.004608,0.004640,0.005408,0.005600,1.0069,1,1,9,100
256,8,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.004512,0.004704,0.005376,0.005408,1.0426,1,1,9,100
256,16,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.004832,0.004704,0.005408,0.005472,0.9735,1,1,9,100
256,32,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.005216,0.004960,0.005696,0.005760,0.9509,1,1,9,100
256,64,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.005760,0.005696,0.006144,0.006144,0.9889,1,1,9,100
256,128,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.005888,0.005984,0.006176,0.006304,1.0163,1,1,9,100
256,256,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.006336,0.006208,0.006848,0.012288,0.9798,1,1,9,100
256,512,shoup_pad,shoup_pad,natural,1.25,0.008608,0.008544,0.009280,0.009376,0.9926,1,1,9,100
256,1024,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.012992,0.013056,0.013920,0.014048,1.0049,1,1,9,100
256,2048,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.021280,0.021088,0.021920,0.021984,0.9910,1,1,9,100
256,4096,warp_shuffle_shoup,warp_shuffle_shoup,natural,1.25,0.037024,0.037216,0.038048,0.038112,1.0052,1,1,9,100
256,8192,gpu_ntt,gpu_ntt,bit-reversed,1.25,0.069888,0.069632,0.070432,0.070912,0.9963,1,1,9,100
