N,batch,baseline,ours_best_ms,baseline_ms,speedup,region,source
256,1,GPU-NTT(MergeNTT),0.004576,0.008832,1.930,ours_wins,job153-verified-executed
256,2,GPU-NTT(MergeNTT),0.004512,0.008704,1.929,ours_wins,job153-verified-executed
256,4,GPU-NTT(MergeNTT),0.004608,0.008192,1.778,ours_wins,job153-verified-executed
256,8,GPU-NTT(MergeNTT),0.004512,0.008608,1.908,ours_wins,job153-verified-executed
256,16,GPU-NTT(MergeNTT),0.004832,0.008480,1.755,ours_wins,job153-verified-executed
256,32,GPU-NTT(MergeNTT),0.005216,0.008192,1.571,ours_wins,job153-verified-executed
256,64,GPU-NTT(MergeNTT),0.005760,0.008288,1.439,ours_wins,job153-verified-executed
256,128,GPU-NTT(MergeNTT),0.005888,0.009248,1.571,ours_wins,job153-verified-executed
256,256,GPU-NTT(MergeNTT),0.006336,0.009568,1.510,ours_wins,job153-verified-executed
256,512,GPU-NTT(MergeNTT),0.008608,0.010880,1.264,ours_wins,job153-verified-executed
256,1024,GPU-NTT(MergeNTT),0.012992,0.015936,1.227,ours_wins,job153-verified-executed
256,2048,GPU-NTT(MergeNTT),0.021280,0.023072,1.084,ours_wins,job153-verified-executed
256,4096,GPU-NTT(MergeNTT),0.037024,0.038912,1.051,ours_wins,job153-verified-executed
256,8192,GPU-NTT(MergeNTT),0.073856,0.069888,0.946,gpu_ntt_wins,job153-verified-executed
512,1,GPU-NTT(MergeNTT),0.005856,0.009472,1.617,ours_wins,job153-verified-executed
512,2,GPU-NTT(MergeNTT),0.005504,0.008608,1.564,ours_wins,job153-verified-executed
512,4,GPU-NTT(MergeNTT),0.005792,0.009376,1.619,ours_wins,job153-verified-executed
512,8,GPU-NTT(MergeNTT),0.005504,0.008896,1.616,ours_wins,job153-verified-executed
512,16,GPU-NTT(MergeNTT),0.005536,0.008352,1.509,ours_wins,job153-verified-executed
512,32,GPU-NTT(MergeNTT),0.005728,0.008384,1.464,ours_wins,job153-verified-executed
512,64,GPU-NTT(MergeNTT),0.006240,0.008896,1.426,ours_wins,job153-verified-executed
512,128,GPU-NTT(MergeNTT),0.007136,0.010016,1.404,ours_wins,job153-verified-executed
512,256,GPU-NTT(MergeNTT),0.009280,0.011744,1.266,ours_wins,job153-verified-executed
512,512,GPU-NTT(MergeNTT),0.014336,0.016384,1.143,ours_wins,job153-verified-executed
512,1024,GPU-NTT(MergeNTT),0.023520,0.025600,1.088,ours_wins,job153-verified-executed
512,2048,GPU-NTT(MergeNTT),0.040960,0.034464,0.841,gpu_ntt_wins,job153-verified-executed
512,4096,GPU-NTT(MergeNTT),0.065472,0.061824,0.944,gpu_ntt_wins,job153-verified-executed
512,8192,GPU-NTT(MergeNTT),0.123296,0.114688,0.930,gpu_ntt_wins,job153-verified-executed
1024,1,GPU-NTT(MergeNTT),0.005888,0.008704,1.478,ours_wins,job153-verified-executed
1024,2,GPU-NTT(MergeNTT),0.005792,0.008320,1.436,ours_wins,job153-verified-executed
1024,4,GPU-NTT(MergeNTT),0.005824,0.008480,1.456,ours_wins,job153-verified-executed
1024,8,GPU-NTT(MergeNTT),0.005952,0.008192,1.376,ours_wins,job153-verified-executed
1024,16,GPU-NTT(MergeNTT),0.005920,0.008256,1.395,ours_wins,job153-verified-executed
1024,32,GPU-NTT(MergeNTT),0.006080,0.008064,1.326,ours_wins,job153-verified-executed
1024,64,GPU-NTT(MergeNTT),0.007040,0.008224,1.168,ours_wins,job153-verified-executed
1024,128,GPU-NTT(MergeNTT),0.007840,0.010304,1.314,ours_wins,job153-verified-executed
1024,256,GPU-NTT(MergeNTT),0.012544,0.014336,1.143,ours_wins,job153-verified-executed
1024,512,GPU-NTT(MergeNTT),0.021632,0.022112,1.022,within_3pct,job153-verified-executed
1024,1024,GPU-NTT(MergeNTT),0.037728,0.036864,0.977,within_3pct,job153-verified-executed
1024,2048,GPU-NTT(MergeNTT),0.076192,0.066176,0.869,gpu_ntt_wins,job153-verified-executed
1024,4096,GPU-NTT(MergeNTT),0.134816,0.112288,0.833,gpu_ntt_wins,job153-verified-executed
1024,8192,GPU-NTT(MergeNTT),0.261824,0.213280,0.815,gpu_ntt_wins,job153-verified-executed
2048,1,GPU-NTT(MergeNTT),0.008256,0.010272,1.244,ours_wins,job153-verified-executed
2048,2,GPU-NTT(MergeNTT),0.008544,0.010240,1.199,ours_wins,job153-verified-executed
